Data Set 1:Time(s),NWAWB5,NWAWB4,NWAWB3,NSASB4,NWASB3,NWASB2,ASAWB1,NSASB3,NWAWB2,NWAWB1,AhSAWB1,NSASB1,NSASB2,AWASB1
41.5,3.740994692,4.119960785,4.273030281,5.148967266,5.091650009,4.840130329,1.677437,1.503412247,6.487098217,3.982558966,1.16,,2.438271523,4.381708622
42,3.76122427,4.126703262,4.28044796,5.166499138,5.110530853,4.876543045,1.679439,1.506085873,6.541224957,3.989241123,1.20,,2.434262276,4.393724918
42.5,3.776733398,4.130749702,4.285841942,5.182008743,5.138852119,4.893401146,1.668758,1.508758545,6.600697517,3.995923758,1.22,,2.388153553,4.404405594
43,3.805728912,4.139515877,4.295282364,5.190774918,5.16582489,4.907561779,1.676769,1.510095596,6.691577435,3.999264956,1.18,,2.391495705,4.412416458
43.5,3.836747646,4.149630547,4.30337429,5.210330009,5.202912331,4.92239666,1.684113,1.511431217,6.777779579,4.002605915,1.21,,2.388822079,4.415754318
44,3.861022949,4.155025005,4.312814713,5.223815918,5.230559349,4.942626476,1.69012,1.515440941,6.851953506,4.007951736,1.10,,2.406864166,4.421094418
44.5,3.892041683,4.160419464,4.322929382,5.228536606,5.268995285,4.968924522,1.698131,1.522791862,6.932141304,4.011960983,1.25,,2.41688776,4.434445381
45,3.904179335,4.1658144,4.329672813,5.237977028,5.293270588,4.984434128,1.706141,1.528805733,7.041063786,4.012629509,1.19,,2.424238205,4.44712925
45.5,3.919014215,4.170534134,4.338438988,5.252137184,5.333729744,4.995897293,1.718825,1.53281498,7.135284424,4.025325775,1.23,,2.431589127,4.45046711
46,3.932500601,4.174580097,4.345856667,5.252811909,5.367445469,5.0188241,1.728838,1.53882885,7.252893448,4.062747002,1.22,,2.447626591,4.459813118
46.5,3.936546564,4.181323051,4.353948593,5.254160404,5.416670799,5.043773651,1.739519,1.546179771,7.395227432,4.084130287,1.23,,2.457650185,4.44712925
47,3.941266775,4.18874073,4.359342575,5.264275074,5.472639084,5.056585789,1.750868,1.552193165,7.511499882,4.098831654,1.25,,2.471683025,4.45046711
47.5,3.956775904,4.196832657,4.360016823,5.273715496,5.5090518,5.068049431,1.764219,1.555534363,7.597702026,4.107518673,1.26,,2.483043194,4.467155933
48,3.966216326,4.203575611,4.369457245,5.307431221,5.532652855,5.081535339,1.784246,1.564890385,7.675217152,4.11954689,1.25,,2.489057064,4.480506897
48.5,3.978353977,4.209644318,4.376200676,5.343844414,5.575809479,5.099067688,1.808278,1.574913979,7.74671793,4.127565861,1.25,,2.408869743,4.490520477
49,3.986445665,4.218410492,4.384292603,5.383628845,5.597387314,5.128063202,1.819626,1.58426857,7.816214561,4.135584354,1.26,,2.380803585,4.492523193
49.5,3.998583555,4.227176666,4.391035557,5.418693542,5.619639874,5.161778927,1.833645,1.592288017,7.889051914,4.145607948,1.24,,2.350064278,4.500533581
50,4.003977776,4.237291336,4.403173447,5.442294598,5.650658607,5.181334496,1.83765,1.598301888,7.95788002,4.148281097,1.34,,2.335363865,4.51588726
50.5,4.016116142,4.239988804,4.411265373,5.468593121,5.701231956,5.194146156,1.846328,1.59696579,8.032722473,4.150285721,1.25,,2.330017567,4.524565697
51,4.033648014,4.246731758,4.419356823,5.485450745,5.745062828,5.217747688,1.855007,1.610998631,8.098876953,4.154963493,1.34,,2.394836903,4.526568413
51.5,4.04983139,4.257521152,4.424751282,5.522538185,5.785521507,5.234605312,1.861682,1.616344452,8.166368484,4.16498661,1.31,,2.473688126,4.529238701
52,4.06196928,4.260892868,4.428797722,5.677631378,5.83407259,5.25753212,1.871696,1.623026371,8.217823029,4.170332432,1.31,,2.505763054,4.537249565
52.5,4.071409702,4.264264107,4.428797722,5.817214489,5.875880241,5.270343781,1.881709,1.630377293,8.261925697,4.177682877,1.32,,2.53516531,4.553270817
